"name","lat","long","nbBikes","nbEmptyDocks"
"Nannie Helen Burroughs Ave & 49th St NE","38.898536","-76.931862","5","6"
"Deanwood Rec Center","38.908473","-76.933099","10","5"
"Hains Point/Buckeye & Ohio Dr SW","38.878433","-77.03023","8","9"
"Arlington Blvd & Fillmore St","38.873755","-77.089233","8","3"
"Long Bridge Park/Long Bridge Dr & 6th St S","38.86646","-77.04826","5","10"
"Old Georgetown Rd & Southwick St","38.999634","-77.109647","10","9"
"Friendship Blvd & Willard Ave","38.96115","-77.088659","12","7"
"North Capitol St & G Pl NE","38.899703","-77.008911","13","4"
"31st & Woodrow St S","38.837666","-77.09482","6","5"
"Washington Blvd & Walter Reed Dr ","38.873219","-77.082104","10","5"
"TJ Cmty Ctr / 2nd St & S Old Glebe Rd","38.869418","-77.095596","7","8"
"Connecticut Ave & Tilden St NW","38.941154","-77.062036","8","7"
"Medical Center Dr & Key West Ave","39.103091","-77.196442","8","6"
"Shady Grove Hospital","39.097636","-77.196636","10","9"
"Veterans Pl & Pershing Dr ","38.997445","-77.023894","4","7"
"Rockville Metro East","39.085394","-77.145803","10","3"
"1st & H St NW","38.900358","-77.012108","11","4"
"Fort Totten Metro","38.952369","-77.002721","13","6"
"Takoma Metro","38.975219","-77.016855","11","8"
"Rhode Island Ave Metro","38.920682","-76.995876","2","17"
"Rolfe St & 9th St S","38.866471","-77.076131","4","7"
"Shirlington Transit Center / S Quincy & Randolph St","38.839912","-77.087083","9","6"
"Shady Grove Metro West","39.119765","-77.166093","7","12"
"River Rd & Landy Ln","38.964992","-77.103381","12","7"
"Rockville Metro West","39.084379","-77.146866","8","11"
"Bethesda Metro","38.984691","-77.094537","8","4"
"Iwo Jima Memorial/N Meade & 14th St N","38.88992","-77.071301","10","9"
"34th & Water St NW","38.903582","-77.067786","8","10"
"Duke St & John Carlyle St","38.804378","-77.060866","9","5"
"Lee Hwy & N Cleveland St","38.894941","-77.09169","10","5"
"Arlington Blvd & S George Mason Dr/NFATC","38.869442","-77.104503","7","4"
"MLK Library/9th & G St NW","38.898404","-77.024281","6","17"
