Title,Date,Catalog_No,Instrument1,Instrument2,Instrument3,Genre,Key
Piano Sonata 22 ii,1804,Op54,Piano,NA,NA,SoloSonata,F major
Piano Sonata 23 i,1805,Op57,Piano,NA,NA,SoloSonata,F minor
Piano Sonata 23 ii,1805,Op57,Piano,NA,NA,SoloSonata,Db major
Piano Sonata 23 iii,1805,Op57,Piano,NA,NA,SoloSonata,F minor
Piano Sonata 24 i,1809,Op78,Piano,NA,NA,SoloSonata,F# major
Piano Sonata 24 ii,1809,Op78,Piano,NA,NA,SoloSonata,F# major
Piano Sonata 25 i,1809,Op79,Piano,NA,NA,SoloSonata,G major
Piano Sonata 25 ii,1809,Op79,Piano,NA,NA,SoloSonata,G minor
Piano Sonata 25 iii,1809,Op79,Piano,NA,NA,SoloSonata,G major
Piano Sonata 26 i,1810,Op81a,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 26 ii,1810,Op81a,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 26 iii,1810,Op81a,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 27 i,1814,Op90,Piano,NA,NA,SoloSonata,E minor
Piano Sonata 27 ii,1814,Op90,Piano,NA,NA,SoloSonata,E major
Piano Sonata 28 i,1816,Op101,Piano,NA,NA,SoloSonata,A major
Piano Sonata 28 ii,1816,Op101,Piano,NA,NA,SoloSonata,F major
Piano Sonata 28 iii,1816,Op101,Piano,NA,NA,SoloSonata,A minor
Piano Sonata 28 iv,1816,Op101,Piano,NA,NA,SoloSonata,A major
Piano Sonata 29 i,1817,Op106,Piano,NA,NA,SoloSonata,Bb major
Piano Sonata 29 ii,1817,Op106,Piano,NA,NA,SoloSonata,Bb major
Piano Sonata 29 iii,1817,Op106,Piano,NA,NA,SoloSonata,F# minor
Piano Sonata 29 iv,1817,Op106,Piano,NA,NA,SoloSonata,D major
Piano Sonata 29 iva,1817,Op106,Piano,NA,NA,SoloSonata,F# major
Piano Sonata 30 i,1820,Op109,Piano,NA,NA,SoloSonata,E major
Piano Sonata 30 ii,1820,Op109,Piano,NA,NA,SoloSonata,E minor
Piano Sonata 30 iii,1820,Op109,Piano,NA,NA,SoloSonata,E major
Piano Sonata 31 i,1821,Op110,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 31 ii,1821,Op110,Piano,NA,NA,SoloSonata,F minor
Piano Sonata 31 iii,1821,Op110,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 32 i,1822,Op111,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 32 ii,1822,Op111,Piano,NA,NA,SoloSonata,C major
Piano Sonatine in G major Anh 5 No. 1 i,1790,Anh5no1,Piano,NA,NA,SoloSonata,G major
Piano Sonatine in G major Anh 5 No. 1 ii,1790,Anh5no1,Piano,NA,NA,SoloSonata,G major
Piano Sonatina in F major Anh 5 No. 2 i,1790,Anh5no2,Piano,NA,NA,SoloSonata,F major
Piano Sonatina in F major Anh 5 No. 2 ii,1790,Anh5no2,Piano,NA,NA,SoloSonata,F major
String Quartet #1 Op. 18 No. 1 i (Arrangement),1799,Op18no1,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #1 Op. 18 No. 1 ii  (Arrangement),1799,Op18no1,Stringquartet,NA,NA,StringQuartet,D minor
String Quartet #1 Op. 18 No. 1 iii (Arrangement),1799,Op18no1,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #1 Op. 18 No. 1 iv (Arrangement),1799,Op18no1,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #10 Op. 74 i (Arrangement),1809,Op74,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #10 Op. 74 ii (Arrangement),1809,Op74,Stringquartet,NA,NA,StringQuartet,Ab major
String Quartet #10 Op. 74 iii (Arrangement),1809,Op74,Stringquartet,NA,NA,StringQuartet,C minor
String Quartet #10 Op. 74 iv (Arrangement),1809,Op74,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #11 Op. 95 i (Arrangement),1814,Op95,Stringquartet,NA,NA,StringQuartet,F minor
String Quartet #11 Op. 95 ii (Arrangement),1814,Op95,Stringquartet,NA,NA,StringQuartet,D major
String Quartet #11 Op. 95 iii (Arrangement),1814,Op95,Stringquartet,NA,NA,StringQuartet,F minor
String Quartet #11 Op. 95 iv (Arrangement),1814,Op95,Stringquartet,NA,NA,StringQuartet,F minor
String Quartet #12 Op. 127 i (Arrangement),1825,Op127,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #12 Op. 127 ii (Arrangement),1825,Op127,Stringquartet,NA,NA,StringQuartet,Ab major
String Quartet #12 Op. 127 iii (Arrangement),1825,Op127,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #12 Op. 127 iv (Arrangement),1825,Op127,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #13 Op. 130 i,1825,Op130,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #13 Op. 130 ii,1825,Op130,Stringquartet,NA,NA,StringQuartet,Bb minor
String Quartet #13 Op. 130 iii,1825,Op130,Stringquartet,NA,NA,StringQuartet,Db major
String Quartet #13 Op. 130 iv,1825,Op130,Stringquartet,NA,NA,StringQuartet,G major
String Quartet #13 Op. 130 v,1825,Op130,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #13 Op. 130 vi,1825,Op130,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #14 Op. 131 i (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,C# minor
String Quartet #14 Op. 131 ii (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,D major
String Quartet #14 Op. 131 iii (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,B minor
String Quartet #14 Op. 131 iv (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,A major
String Quartet #14 Op. 131 v (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,E major
String Quartet #14 Op. 131 vi (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,G# minor
String Quartet #14 Op. 131 vii (Arrangement),1826,Op131,Stringquartet,NA,NA,StringQuartet,C# minor
String Quartet #15 Op. 132 i (Arrangement),1825,Op132,Stringquartet,NA,NA,StringQuartet,A minor
String Quartet #15 Op. 132 ii (Arrangement),1825,Op132,Stringquartet,NA,NA,StringQuartet,A major
String Quartet #15 Op. 132 iii (Arrangement),1825,Op132,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #15 Op. 132 iv (Arrangement),1825,Op132,Stringquartet,NA,NA,StringQuartet,A major
String Quartet #15 Op. 132 v (Arrangement),1825,Op132,Stringquartet,NA,NA,StringQuartet,A minor
String Quartet #16 Op. 135 i (Arrangement),1826,Op135,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #16 Op. 135 ii (Arrangement),1826,Op135,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #16 Op. 135 iii (Arrangement),1826,Op135,Stringquartet,NA,NA,StringQuartet,Db major
String Quartet #16 Op. 135 iv (Arrangement),1826,Op135,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #2 Op. 18 No. 2 i (Arrangement),1799,Op18no2,Stringquartet,NA,NA,StringQuartet,G major
String Quartet #2 Op. 18 No. 2 ii (Arrangement),1799,Op18no2,Stringquartet,NA,NA,StringQuartet,C major
String Quartet #2 Op. 18 No. 2 iii (Arrangement),1799,Op18no2,Stringquartet,NA,NA,StringQuartet,G major
String Quartet #2 Op. 18 No. 2 iv (Arrangement),1799,Op18no2,Stringquartet,NA,NA,StringQuartet,G major
String Quartet #3 Op. 18 No. 3 i (Arrangement),1799,Op18no3,Stringquartet,NA,NA,StringQuartet,D major
String Quartet #3 Op. 18 No. 3 ii (Arrangement),1799,Op18no3,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #3 Op. 18 No. 3 iii (Arrangement),1799,Op18no3,Stringquartet,NA,NA,StringQuartet,D major
String Quartet #3 Op. 18 No. 3 iv (Arrangement),1799,Op18no3,Stringquartet,NA,NA,StringQuartet,D major
String Quartet #4 Op. 18 No. 4 i (Arrangement),1799,Op18no4,Stringquartet,NA,NA,StringQuartet,C minor
String Quartet #4 Op. 18 No. 4 ii (Arrangement),1799,Op18no4,Stringquartet,NA,NA,StringQuartet,C major
String Quartet #4 Op. 18 No. 4 iii (Arrangement),1799,Op18no4,Stringquartet,NA,NA,StringQuartet,C minor
String Quartet #4 Op. 18 No. 4 iv (Arrangement),1799,Op18no4,Stringquartet,NA,NA,StringQuartet,C minor
String Quartet #5 Op. 18 No. 5 i (Arrangement),1799,Op18no5,Stringquartet,NA,NA,StringQuartet,A major
String Quartet #5 Op. 18 No. 5 ii (Arrangement),1799,Op18no5,Stringquartet,NA,NA,StringQuartet,A major
String Quartet #5 Op. 18 No. 5 iii (Arrangement),1799,Op18no5,Stringquartet,NA,NA,StringQuartet,D major
String Quartet #5 Op. 18 No. 5 iv (Arrangement),1799,Op18no5,Stringquartet,NA,NA,StringQuartet,A major
String Quartet #6 Op. 18 No. 6 i (Arrangement),1800,Op18no6,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #6 Op. 18 No. 6 ii (Arrangement),1800,Op18no6,Stringquartet,NA,NA,StringQuartet,Eb major
String Quartet #6 Op. 18 No. 6 iii (Arrangement),1800,Op18no6,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #6 Op. 18 No. 6 iv (Arrangement),1800,Op18no6,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #7 Op. 59 No. 1 i,1806,Op59no1,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #7 Op. 59 No. 1 ii,1806,Op59no1,Stringquartet,NA,NA,StringQuartet,Bb major
String Quartet #7 Op. 59 No. 1 iii,1806,Op59no1,Stringquartet,NA,NA,StringQuartet,F minor
String Quartet #7 Op. 59 No. 1 iv,1806,Op59no1,Stringquartet,NA,NA,StringQuartet,F major
String Quartet #8 Op. 59 No. 2 i,1806,Op59no2,Stringquartet,NA,NA,StringQuartet,E minor
String Quartet #8 Op. 59 No. 2 ii,1806,Op59no2,Stringquartet,NA,NA,StringQuartet,E major
String Quartet #8 Op. 59 No. 2 iii,1806,Op59no2,Stringquartet,NA,NA,StringQuartet,E minor
String Quartet #8 Op. 59 No. 2 iv,1806,Op59no2,Stringquartet,NA,NA,StringQuartet,E minor
String Quartet #9 Op. 59 No. 3 i,1806,Op59no3,Stringquartet,NA,NA,StringQuartet,C major
String Quartet #9 Op. 59 No. 3 ii,1806,Op59no3,Stringquartet,NA,NA,StringQuartet,A minor
String Quartet #9 Op. 59 No. 3 iii,1806,Op59no3,Stringquartet,NA,NA,StringQuartet,C major
String Quartet #9 Op. 59 No. 3 iv,1806,Op59no3,Stringquartet,NA,NA,StringQuartet,C major
Symphony #1 Op. 21 i,1800,Op21,Orchestra,NA,NA,Symphony,C major
Symphony #1 Op. 21 ii,1800,Op21,Orchestra,NA,NA,Symphony,F major
Symphony #1 Op. 21 iii,1800,Op21,Orchestra,NA,NA,Symphony,C major
Symphony #1 Op. 21 iv,1800,Op21,Orchestra,NA,NA,Symphony,C major
Symphony #2 Op. 36 i,1802,Op36,Orchestra,NA,NA,Symphony,D major
Symphony #2 Op. 36 ii,1802,Op36,Orchestra,NA,NA,Symphony,A major
Symphony #2 Op. 36 iii,1802,Op36,Orchestra,NA,NA,Symphony,D major
Symphony #2 Op. 36 iv,1802,Op36,Orchestra,NA,NA,Symphony,D major
Symphony #3 Op. 55 i,1804,Op55,Orchestra,NA,NA,Symphony,Eb major
Symphony #3 Op. 55 ii,1804,Op55,Orchestra,NA,NA,Symphony,C minor
Symphony #3 Op. 55 iii,1804,Op55,Orchestra,NA,NA,Symphony,Eb major
Symphony #3 Op. 55 iv,1804,Op55,Orchestra,NA,NA,Symphony,Eb major
Symphony #4 Op. 60 i,1806,Op60,Orchestra,NA,NA,Symphony,Bb major
Symphony #4 Op. 60 ii,1806,Op60,Orchestra,NA,NA,Symphony,Eb major
Symphony #4 Op. 60 iii,1806,Op60,Orchestra,NA,NA,Symphony,Bb major
Symphony #4 Op. 60 iv,1806,Op60,Orchestra,NA,NA,Symphony,Bb major
Symphony #5 Op. 67 i,1804,Op67,Orchestra,NA,NA,Symphony,C minor
Symphony #5 Op. 67 ii,1804,Op67,Orchestra,NA,NA,Symphony,Ab major
Symphony #5 Op. 67 iii,1804,Op67,Orchestra,NA,NA,Symphony,C minor
Symphony #5 Op. 67 iv,1804,Op67,Orchestra,NA,NA,Symphony,C major
Symphony #6 Op. 68 i,1804,Op68,Orchestra,NA,NA,Symphony,F major
Symphony #6 Op. 68 ii,1804,Op68,Orchestra,NA,NA,Symphony,Bb major
Symphony #6 Op. 68 iii,1804,Op68,Orchestra,NA,NA,Symphony,F major
